subject,age,gender,sleep,satiated,feeling.before,energy.before,caffeine.regular,caffeine.last,like.puzzles,puzzle.frequency,feeling.after,energy.after
1,18,Nonbinary,No,Yes,2,3,No,"1 week ago, cappuccino 12oz",Yes,once a year,3,3
2,22,Female,Yes,Yes,5,4,Sometimes,I usually drink tea more than coffee. I might have up to 2 mugs of black tea per day. Today I only had one hot chocolate and a square of chocolate in terms of caffeine.,Yes,I do NYT Wordle and Mini Crossword around 2-3 times weekly.,5,3
3,18,Nonbinary,No,Yes,4,3,Yes,I had a glass of soda at lunch,Yes,Never- I usually don't have any,4,4
4,20,Female,No,No,4,3,Yes,Yesterday,Yes,Once every year,4,3
5,18,Nonbinary,Yes,Yes,4,3,Yes,"Earl grey tea at around noon, 12 oz",Yes,"Not very often, but I think they're fun enough",5,4
6,19,Female,Yes,Yes,3,3,Sometimes,"Saturday morning I had a small cup of coffee, maybe like 4oz.",Yes,Maybe once or twice a year.,4,4
7,21,Female,No,Yes,4,4,Yes,"Finished a cup of coffee an hour and a half ago, 12oz",Yes,maybe once every six months?,3,4
8,21,Female,No,No,2,3,No,Last night it was a milk tea 6oz,Yes,Not often,4,4
9,20,Female,Yes,Yes,4,4,Yes,16oz dirty chai during lunch,No,basically never.,4,3
10,21,Female,Yes,Yes,3,4,No,"A long time ago, maybe 4 weeks",Yes,Maybe once or twice a year,5,3
11,20,Female,Yes,Yes,5,4,No,3 years ago,Yes,Rarely 1-2x a year,5,3
12,18,Nonbinary,No,Yes,4,2,Yes,This morning; a substantial,Yes,infrequently,5,4
13,22,Female,Yes,Yes,2,3,No,none,Yes,not often,3,4
14,18,Female,Yes,Yes,3,3,No,Last Thursday. It was the caramel chaider drink from the CC. I think it was 12oz or 16oz (smallest size they offer).,Yes,I do a 1000 piece one once or twice every year.,4,3
15,19,Female,Yes,Yes,4,4,No,n/a,No,never,4,4
16,22,Female,Yes,Yes,4,4,Sometimes,"I had a cup of coffee, caffeinated, at a round 12PM",Yes,"A couple of times throughout the year, especially phone app puzzles",4,5
17,21,Female,Yes,Yes,3,4,Sometimes,I had 12oz matcha latte last afternoon. 20 hours ago.,Yes,Every 6 month,4,4
18,21,Female,Yes,Yes,4,4,Yes,4 oz coffee yesterday morning,No,,2,4
19,19,Female,Yes,Yes,4,4,No,don't really remember (IS day coffee),Yes,i have never actually completed a puzzle (sorry),5,5
